Martin Luther King, Jr.;Life's most persistent and urgent question is, 'What are you doing for others.
Buddha;Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.
Audrey Hepburn;The most important thing is to enjoy your life - to be happy - it's all that matters.
Confucius;Life is really simple, but we insist on making it complicated.
Cesare Pavese;We do not remember days, we remember moments.
Marcus Aurelius;Very little is needed to make a happy life it is all within yourself, in your way of thinking.
Soren Kierkegaard;Life is not a problem to be solved, but a reality to be experienced.
Sholom Aleichem;Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.
Eminem;The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.
William J. Clinton;If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person.
