si;P(si)
('было', '–', 'мы.');0
('выходи', 'за', 'меня');0.0006394039643045787
('я', 'уверен', '–');0
('всю', 'жизнь', 'носить');0.00016680103416641184
('мне', 'так', 'хочется,');0
('на', 'протяжении', 'всей');0.010508465152483945
('самая', 'лучшая', 'на');0
('милая,', 'хорошая', 'моя,');0
('тебя,', 'что', 'готов');0
('что', 'ты', 'ответишь');0.00011120068944427456
('хочется,', 'чтобы', 'не');0
('в', 'унисон,', 'а');0
('и', 'я,', 'а');0
('ты', 'и', 'я,');0
('-', 'ты', 'и');0
('я', 'так', 'люблю');0.0035028217174946485
('наши', 'сердца', 'стучат');0
('не', 'было', '-');0
('хорошая', 'моя,', 'выходи');0
('а', 'что', 'бы');0.0011398070668038143
('самая', 'счастливая', 'семья.');0
('у', 'нас', 'будет');0.016207500486503015
('нас', 'будет', 'самая');0
('готов', 'всю', 'жизнь');0.00016680103416641184
('было', '-', 'ты');0
('ответишь', '–', 'да!');0
('жизнь', 'носить', 'тебя');0
('будет', 'самая', 'счастливая');0
('уверен', '–', 'только');0
('будет', 'нас', 'сопровождать');0
('сердца', 'я', 'дарю');0
('бы', 'было', '–');0
('лебединая', 'верность', 'будет');0
('что', 'готов', 'всю');0
('всей', 'нашей', 'жизни.');0
('так', 'давно', 'мечтаю');0
('за', 'меня', 'замуж.');0
('мечтаю', 'об', 'этом.');0
('колечко,', 'и', 'надеюсь,');0
('так', 'люблю', 'тебя,');0
('сопровождать', 'на', 'протяжении');0
('унисон,', 'а', 'лебединая');0
('я', 'дарю', 'тебе');0.0005004031024992355
('моя,', 'выходи', 'за');0
('а', 'лебединая', 'верность');0
('добро', 'и', 'нежность.');0
('надеюсь,', 'что', 'ты');0
('от', 'всего', 'сердца');0.010508465152483945
('излучаешь', 'добро', 'и');0
('чтобы', 'не', 'было');0.02574295960634956
('стучат', 'в', 'унисон,');0
('только', 'ты', 'моя');0
('сердца', 'стучат', 'в');0
('любимая,', 'ты', 'самая');0
('люблю', 'тебя,', 'что');0
('всего', 'сердца', 'я');0
('–', 'только', 'ты');0
('лучшая', 'на', 'свете.');0
('тебя', 'на', 'руках.');0
('я', 'так', 'давно');0.001473409135136638
('ты', 'самая', 'лучшая');0
('и', 'надеюсь,', 'что');0
('пусть', 'наши', 'сердца');0
('ты', 'излучаешь', 'добро');0
('ты', 'моя', 'судьба.');0
('протяжении', 'всей', 'нашей');0.00019460120652748048
('так', 'хочется,', 'чтобы');0
('нас', 'сопровождать', 'на');0
('ты', 'ответишь', '–');0
('носить', 'тебя', 'на');0
('давно', 'мечтаю', 'об');0
('дарю', 'тебе', 'колечко,');0
('что', 'бы', 'было');0.0021684134441633538
('я,', 'а', 'что');0
('верность', 'будет', 'нас');0
('тебе', 'колечко,', 'и');0
Perplexity = 1.3788987965021822;
